Id,Id2,Geography,Households 2014,Households 2014 MOE,Median Income 2014,Median Income 2014 MOE,Households 2012,Households 2012 MOE,Median Income 2012,Median Income 2012 MOE,Adjusted 2012 Median Income,Percent Change
1400000US04019003706,04019003706,"Census Tract 37.06, Pima County, Arizona",1874,123,23664,2470,1640,120,23347,5224,24073.2571060219,-0.0170004875
1400000US04019003707,04019003707,"Census Tract 37.07, Pima County, Arizona",933,80,31728,9014,920,93,24318,13223,25074.4620852461,0.2653511725
1400000US04019003801,04019003801,"Census Tract 38.01, Pima County, Arizona",1164,88,22240,2673,1083,99,22063,3344,22749.3156092929,-0.0223881728
1400000US04019003802,04019003802,"Census Tract 38.02, Pima County, Arizona",1681,78,29042,7020,1607,89,25774,4442,26575.7540005401,0.0928006031
1400000US04019003901,04019003901,"Census Tract 39.01, Pima County, Arizona",585,44,30027,7104,608,23,30407,6890,31352.8731238621,-0.042288728
1400000US04019003902,04019003902,"Census Tract 39.02, Pima County, Arizona",882,32,33581,2472,850,51,30703,4857,31658.0808209274,0.0607402322
1400000US04019003903,04019003903,"Census Tract 39.03, Pima County, Arizona",864,62,40750,7157,876,63,50187,4496,51748.1712588308,-0.212532559
1400000US04019004008,04019004008,"Census Tract 40.08, Pima County, Arizona",1836,107,45040,5639,1843,97,44608,5307,45995.6248334016,-0.020776429
1400000US04019004010,04019004010,"Census Tract 40.10, Pima County, Arizona",1327,109,43651,5244,1512,117,38853,5756,40061.6035610687,0.0895969237
1400000US04019004011,04019004011,"Census Tract 40.11, Pima County, Arizona",2951,244,41312,8273,2967,217,42732,6724,44061.2679425421,-0.0623964782
1400000US04019004022,04019004022,"Census Tract 40.22, Pima County, Arizona",2617,131,61635,2682,2669,134,60218,4656,62091.206425255,-0.0073473597
1400000US04019004025,04019004025,"Census Tract 40.25, Pima County, Arizona",2601,140,74908,10471,2586,152,79846,6144,82329.7762833524,-0.0901469264
1400000US04019004026,04019004026,"Census Tract 40.26, Pima County, Arizona",2236,98,65119,8004,2264,91,73563,7562,75851.3304703085,-0.1414916575
1400000US04019004029,04019004029,"Census Tract 40.29, Pima County, Arizona",1542,101,43649,3699,1503,122,44533,4320,45918.2918020506,-0.0494202139
1400000US04019004030,04019004030,"Census Tract 40.30, Pima County, Arizona",652,53,96429,4352,733,27,106417,16605,109727.322630382,-0.1211942688
1400000US04019004031,04019004031,"Census Tract 40.31, Pima County, Arizona",2081,155,55031,6775,2202,187,53393,5222,55053.9005723146,-0.0004159664
1400000US04019004032,04019004032,"Census Tract 40.32, Pima County, Arizona",1742,108,44054,7606,1732,108,47794,4105,49280.7320051918,-0.1060603565
1400000US04019004033,04019004033,"Census Tract 40.33, Pima County, Arizona",1621,101,35058,5816,1574,110,40106,9817,41353.5807381726,-0.1522378625
1400000US04019004034,04019004034,"Census Tract 40.34, Pima County, Arizona",1354,78,40212,5355,1353,71,39296,5840,40518.3839995819,-0.0075616046
1400000US04019004035,04019004035,"Census Tract 40.35, Pima County, Arizona",1763,117,36325,4196,1739,118,39941,4001,41183.4480692004,-0.1179708911
1400000US04019004036,04019004036,"Census Tract 40.36, Pima County, Arizona",1051,99,39777,8168,1093,77,51453,9231,53053.5528280356,-0.2502481383
1400000US04019004037,04019004037,"Census Tract 40.37, Pima County, Arizona",1224,74,32135,11624,1221,75,45927,7503,47355.6550780944,-0.3214115622
